Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche 
228,1.19321589,0.428531994,0.255865439,0.508818457,35.9,21.4,42.6,50
229,1.197287911,0.429565858,0.257497289,0.510224764,35.9,21.5,42.6,50
230,1.20593044,0.44444168,0.253100375,0.508388384,36.9,21,42.2,50
231,1.207333275,0.449780719,0.250910879,0.506641677,37.3,20.8,42,50
232,1.214489605,0.461587546,0.250043977,0.502858082,38,20.6,41.4,50
233,1.214459481,0.464488746,0.249371853,0.500598882,38.2,20.5,41.2,50
234,1.21455327,0.466269048,0.248766422,0.4995178,38.4,20.5,41.1,50
235,1.224592578,0.473125437,0.249562582,0.501904558,38.6,20.4,41,50
236,1.227608525,0.474112902,0.250341731,0.503153892,38.6,20.4,41,50
237,1.235386367,0.479920413,0.252172142,0.503293812,38.8,20.4,40.7,50
238,1.239797085,0.482359751,0.252550788,0.504886547,38.9,20.4,40.7,50
239,1.248990551,0.487971054,0.255118864,0.505900632,39.1,20.4,40.5,50
240,1.254203294,0.490039816,0.256169937,0.507993541,39.1,20.4,40.5,50
241,1.258386025,0.492719873,0.257571583,0.508094569,39.2,20.5,40.4,50
242,1.264020893,0.494704503,0.257972001,0.511344389,39.1,20.4,40.5,50
243,1.265312334,0.496088845,0.257276274,0.511947215,39.2,20.3,40.5,50
244,1.277952919,0.503387156,0.260215256,0.514350507,39.4,20.4,40.2,50
245,1.27891256,0.504556949,0.259512212,0.514843399,39.5,20.3,40.3,50
246,1.289618468,0.51214735,0.264644548,0.51282657,39.7,20.5,39.8,50
247,1.292473792,0.510941549,0.265571666,0.515960577,39.5,20.5,39.9,50
248,1.30574133,0.518833786,0.270003258,0.516904286,39.7,20.7,39.6,50
249,1.308924159,0.518697768,0.269578369,0.520648022,39.6,20.6,39.8,50
250,1.317823222,0.527828232,0.267844942,0.522150049,40.1,20.3,39.6,50
251,1.321770627,0.527953832,0.267737156,0.526079639,39.9,20.3,39.8,50
252,1.326039402,0.528549804,0.267907695,0.529581903,39.9,20.2,39.9,50
253,1.33521075,0.538258854,0.267750062,0.529201834,40.3,20.1,39.6,50
254,1.33777881,0.537567846,0.268283865,0.531927099,40.2,20.1,39.8,50
255,1.345178321,0.549075781,0.266940156,0.529162385,40.8,19.8,39.3,50
256,1.345665572,0.548801824,0.267092116,0.529771631,40.8,19.8,39.4,50
257,1.354177513,0.563522805,0.266624492,0.524030216,41.6,19.7,38.7,50
258,1.354177513,0.563522805,0.266624492,0.524030216,41.6,19.7,38.7,50
259,1.358442136,0.572389701,0.266692757,0.519359679,42.1,19.6,38.2,50
260,1.359491667,0.572060104,0.267126408,0.520305155,42.1,19.6,38.3,50
261,1.360289647,0.571649116,0.267514976,0.521125555,42,19.7,38.3,50
262,1.365916914,0.581442311,0.266288017,0.518186586,42.6,19.5,37.9,50
263,1.367783078,0.579484824,0.268703917,0.519594336,42.4,19.6,38,50
264,1.373106754,0.587676728,0.267978718,0.517451307,42.8,19.5,37.7,50
265,1.374766828,0.587085393,0.269015102,0.518666333,42.7,19.6,37.7,50
266,1.390878572,0.60914121,0.26674136,0.514996002,43.8,19.2,37,50
267,1.391009974,0.608753895,0.267296579,0.5149595,43.8,19.2,37,50
268,1.407659501,0.628670396,0.267467817,0.511521288,44.7,19,36.3,50
269,1.404720268,0.626543807,0.267739567,0.510436894,44.6,19.1,36.3,50
270,1.406366561,0.625566793,0.269081335,0.511718433,44.5,19.1,36.4,50
271,1.433272517,0.651314128,0.27038892,0.511569469,45.4,18.9,35.7,50
272,1.433881601,0.650367352,0.271271153,0.512243096,45.4,18.9,35.7,50
273,1.437380487,0.66120024,0.270290752,0.505889495,46,18.8,35.2,50
274,1.438510417,0.66034068,0.271133303,0.507036434,45.9,18.8,35.2,50
275,1.445295665,0.675725283,0.270089226,0.499481156,46.8,18.7,34.6,50
276,1.446372693,0.680763912,0.267829694,0.497779087,47.1,18.5,34.4,50
277,1.448571688,0.694630651,0.267371984,0.486569053,48,18.5,33.6,50
278,1.449814863,0.694626452,0.268313371,0.486875039,47.9,18.5,33.6,50
279,1.44939763,0.696631796,0.267084577,0.485681257,48.1,18.4,33.5,50
280,1.44627458,0.70886387,0.266980545,0.470430165,49,18.5,32.5,50
281,1.446039476,0.7091435,0.266300998,0.470594979,49,18.4,32.5,50
282,1.439580777,0.720188933,0.266217601,0.453174244,50,18.5,31.5,50
283,1.437887211,0.720172345,0.265229224,0.452485642,50.1,18.4,31.5,50
284,1.44849654,0.735699042,0.268230081,0.444567417,50.8,18.5,30.7,50
285,1.447947688,0.735577596,0.267660521,0.444709571,50.8,18.5,30.7,50
286,1.463288726,0.75848427,0.278681643,0.426122814,51.8,19,29.1,50
287,1.463920654,0.759141375,0.278827078,0.425952202,51.9,19,29.1,50
288,1.485781801,0.772141945,0.287635087,0.426004768,52,19.4,28.7,50
289,1.484773361,0.772334537,0.287257911,0.425180913,52,19.3,28.6,50
290,1.497158116,0.778532648,0.292968145,0.425657323,52,19.6,28.4,50
291,1.522425987,0.798128126,0.298717536,0.425580326,52.4,19.6,28,50
292,1.521835437,0.798177309,0.299004578,0.42465355,52.4,19.6,27.9,50
