x_rounded,y_rounded,Epoch,Database,Site
69.75,54.25,Pleistocene,PACEA,Gagarino
70.3,57.95,Pleistocene,Lorenzen,"Right bank of the Irtysh R. near Ishchetskaya village, Stn. 9-640/1"
70.5,54.85,Pleistocene,Lorenzen,Uspenka
71,70,Pleistocene & Holocene,Lorenzen,Yamal
72,70,Holocene,Lorenzen,Yamal
73.10000000000001,55,Pleistocene,Lorenzen,Irtysh River
73.15,55.1,Pleistocene,RPDE,Kulachye
74.5,57,Pleistocene,Lorenzen,Irtysh-3
75.45,70.10000000000001,Pleistocene,Lorenzen,Parisento River
75.5,70.3,Pleistocene,Lorenzen,Yuribei River
77,61,Pleistocene,Lorenzen,Agansky Uval
77.30000000000001,70.3,Pleistocene,RPDE,Nizhny Tagil
79.2,71,Pleistocene,Lorenzen,Yambuto Lake
80.2,54.5,Pleistocene,RPDE,Volchya Griva
80.2,NA,Holocene,RPDE,Volchya Griva
